username,rank,week,target,target_achieved
114939746350,1,6,24,1065
109805397448,2,6,81,742
113793359527,3,6,14,679
118104074275,4,6,11,673
118574515907,5,6,58,621
117379087618,6,6,68,606
115234801825,7,6,35,604
112374263123,8,6,61,579
98522938348,9,6,58,566
115087466692,10,6,32,469
115703828873,11,6,19,441
103134058225,12,6,10,440
100778274922,13,6,13,440
120505395253,14,6,45,431
113582119850,15,6,48,396
104928949450,16,6,39,394
94000360042,17,6,20,382
107932851388,18,6,33,379
102040611578,19,6,158,358
94719757078,20,6,15,347
114649857575,21,6,156,340
98805904577,22,6,82,323
100614026017,23,6,26,300
100301157638,24,6,83,298
114478492462,25,6,23,289
106565207827,26,6,18,283
96161076982,27,6,16,279
100020976627,28,6,220,276
118700677138,29,6,9,270
98787679462,30,6,91,267
115130169782,31,6,61,264
107819515462,32,6,131,258
111686012950,33,6,11,255
111695465600,34,6,60,253
106988508373,35,6,38,248
100122978013,36,6,43,247
116660197225,37,6,10,245
100409575453,38,6,136,242
120928455352,39,6,48,240
112243929898,40,6,51,235
112834112732,41,6,111,232
106171314418,42,6,11,232
117719951228,43,6,357,230
118371045838,44,6,39,230
114760020100,45,6,14,228
103179934243,46,6,34,226
100651710643,47,6,216,223
103120887788,48,6,9,222
119400405325,49,6,36,219
95248446767,50,6,27,218
96222483152,51,6,38,217
111385155302,52,6,411,214
113462520358,53,6,186,214
119290479325,54,6,82,212
113081271592,55,6,405,212
98314859932,56,6,10,210
104391826253,57,6,13,208
118377371222,58,6,51,207
100152066878,59,6,42,206
99057226747,60,6,74,205
104835059450,61,6,60,205
106837299322,62,6,49,204
120254170933,63,6,121,201
98356103200,64,6,32,201
114013868200,65,6,10,200
94738038313,66,6,13,200
96323407267,67,6,23,200
104043480892,68,6,196,200
100523432350,69,6,84,198
116388890882,70,6,49,197
120259075148,71,6,28,195
112607629793,72,6,42,195
120315480808,73,6,28,194
98412438622,74,6,121,194
95751036442,75,6,30,193
104528492575,76,6,60,193
97721562202,77,6,21,190
95056065368,78,6,64,189
108239248825,79,6,117,189
98197829392,80,6,17,188
109368136475,81,6,19,186
108781503463,82,6,7,186
115649957713,83,6,42,186
108551671793,84,6,67,185
107711344513,85,6,27,185
98821019362,86,6,109,184
120346386907,87,6,12,183
114675238162,88,6,73,183
113771415802,89,6,49,183
108050895475,90,6,8,181
107111589100,91,6,16,181
104589770038,92,6,47,181
103953179725,93,6,67,181
95284676350,94,6,55,181
96423066850,95,6,49,180
114983860672,96,6,67,179
120017906342,97,6,77,179
102790993363,98,6,35,179
104332433998,99,6,31,179
118903942537,100,6,45,178
98609961662,101,6,62,177
107566118773,102,6,156,177
112880196850,103,6,123,177
102881695663,104,6,61,177
114802662403,105,6,67,177
105464695282,106,6,278,176
96955601678,107,6,270,176
115428352247,108,6,50,175
100096130503,109,6,52,175
95094438868,110,6,57,173
105179222473,111,6,94,172
95200005923,112,6,168,170
113612148737,113,6,60,168
120592796368,114,6,166,167
113811965647,115,6,163,166
93838267133,116,6,41,166
100824073075,117,6,182,165
95449323937,118,6,38,164
96828381277,119,6,43,164
100251000622,120,6,55,164
103471780702,121,6,13,163
98302000897,122,6,112,163
116167542263,123,6,126,162
96257581192,124,6,27,162
116676620908,125,6,57,161
120726414328,126,6,54,161
103958651407,127,6,18,161
115109536963,128,6,109,161
97743225788,129,6,76,161
117367943957,130,6,57,160
109266670747,131,6,45,160
95692405747,132,6,24,158
111572139968,133,6,58,158
97152539597,134,6,133,158
114362726075,135,6,33,158
114152391775,136,6,120,158
94917026347,137,6,195,157
111182293987,138,6,68,157
110352495725,139,6,67,157
112488070283,140,6,61,157
103425839842,141,6,23,157
111544743523,142,6,42,156
98884603025,143,6,102,156
104844675518,144,6,43,156
93828736612,145,6,64,155
99895335907,146,6,119,155
114374204423,147,6,109,155
97247775833,148,6,65,155
116948262203,149,6,95,155
115782734275,150,6,88,155
115262647712,151,6,22,155
116840921318,152,6,42,155
119194274572,153,6,49,154
106934856227,154,6,63,154
118671444628,155,6,137,154
117835462267,156,6,49,153
100286825782,157,6,98,153
96900565303,158,6,49,153
100308323950,159,6,30,153
96892641352,160,6,59,153
95332702075,161,6,82,152
113882587325,162,6,63,152
96550460225,163,6,23,152
95526237257,164,6,64,152
96244857413,165,6,218,151
106286086237,166,6,154,151
110333704825,167,6,44,151
95103161198,168,6,107,151
98787234968,169,6,54,151
96364669742,170,6,47,150
95677094717,171,6,28,150
94013801828,172,6,30,150
120539762698,173,6,221,150
116326660508,174,6,370,150
96452052433,175,6,46,150
99927521023,176,6,60,150
114749959588,177,6,70,150
119795089657,178,6,71,149
119640464063,179,6,232,149
100728896417,180,6,104,149
112756218718,181,6,26,149
108745590817,182,6,73,148
97751184443,183,6,48,148
107709023843,184,6,84,148
118205186507,185,6,184,147
117602071928,186,6,15,147
120895999423,187,6,167,146
100285482223,188,6,117,146
104005166518,189,6,60,146
107813478743,190,6,77,145
103367632418,191,6,51,145
118025353372,192,6,72,144
111811765913,193,6,15,144
104712836462,194,6,20,144
115889588092,195,6,250,144
118710909367,196,6,16,144
103903941067,197,6,64,143
115549944553,198,6,19,143
94825551502,199,6,141,143
118833243002,200,6,148,143
99761733737,201,6,86,142
94092303700,202,6,134,142
105091180393,203,6,30,142
103962755263,204,6,24,142
95215278733,205,6,61,142
118263540167,206,6,82,141
111411588058,207,6,58,141
95403452902,208,6,46,141
95151577400,209,6,92,141
100938613975,210,6,51,141
103942236793,211,6,32,141
114710200928,212,6,55,140
114984340222,213,6,54,140
105197569213,214,6,56,139
103818712825,215,6,94,139
119058091603,216,6,15,139
111701137382,217,6,153,139
104069027728,218,6,146,139
111943267558,219,6,70,139
99134689372,220,6,26,138
102883963733,221,6,133,138
112604307838,222,6,45,138
112703987803,223,6,53,138
96649357850,224,6,48,138
96824420737,225,6,94,137
104937195457,226,6,35,137
107553132107,227,6,36,137
119854813598,228,6,155,137
111264359782,229,6,31,137
116314119967,230,6,138,137
113069382767,231,6,29,137
118124973737,232,6,58,136
96509157988,233,6,61,136
100896383488,234,6,30,136
111470128892,235,6,75,136
115575424568,236,6,46,136
119765233268,237,6,183,136
98661039142,238,6,62,135
97897150538,239,6,359,135
120223276678,240,6,68,135
94477045213,241,6,43,135
97386745643,242,6,321,135
103484518588,243,6,22,135
96472257082,244,6,88,134
109452337325,245,6,50,134
102949748638,246,6,106,134
104206852223,247,6,13,134
116740394398,248,6,101,134
115984931725,249,6,15,133
100611783107,250,6,54,133
111192196873,251,6,9,133
112555907767,252,6,82,133
119339817623,253,6,76,133
93769398350,254,6,225,133
114830935262,255,6,68,133
113426319392,256,6,58,133
97753837400,257,6,42,133
94929662053,258,6,89,133
112789937825,259,6,227,132
119422885318,260,6,110,132
111181350878,261,6,59,132
114942143650,262,6,35,131
118567698292,263,6,109,131
97924586623,264,6,268,131
119563188712,265,6,469,131
105623203117,266,6,62,131
118066654277,267,6,36,131
96383109023,268,6,23,130
113707027957,269,6,79,130
114915774725,270,6,60,130
118687522063,271,6,30,130
117803424118,272,6,100,130
109062479438,273,6,77,130
94816841912,274,6,94,130
105274184137,275,6,82,130
100297574578,276,6,37,130
97153421200,277,6,429,130
120663526072,278,6,832,129
110800191337,279,6,38,129
100712738807,280,6,56,129
99424774972,281,6,272,129
100428397732,282,6,110,128
120664508575,283,6,26,128
109949312908,284,6,76,128
107910086527,285,6,100,128
100863144427,286,6,22,127
113993335657,287,6,117,126
114712595833,288,6,57,126
95016827753,289,6,50,126
97244688742,290,6,77,126
105669169667,291,6,31,126
107140750162,292,6,31,126
116493127838,293,6,70,126
93917995897,294,6,21,125
95448013183,295,6,117,125
125582927227,296,6,55,125
99992354003,297,6,77,125
96110212432,298,6,60,125
118057421683,299,6,20,125
104114654878,300,6,30,125
118989297562,301,6,39,124
103505446817,302,6,21,124
117300124387,303,6,19,124
94805084600,304,6,93,124
96981143863,305,6,30,123
94728897475,306,6,30,123
97009772723,307,6,116,123
110031391583,308,6,82,123
113485387102,309,6,29,123
117845171657,310,6,35,123
97741015108,311,6,81,123
100139983298,312,6,340,123
120294878947,313,6,3916,123
100199065508,314,6,44,123
94633597873,315,6,58,122
111448410337,316,6,59,122
115690840928,317,6,101,122
95895939967,318,6,65,122
114309646208,319,6,15,122
96458640673,320,6,578,122
102839060600,321,6,134,122
93813575417,322,6,28,121
120615388325,323,6,86,121
97403958332,324,6,258,121
100579039468,325,6,61,121
97418082700,326,6,40,121
99848855447,327,6,62,121
100191903100,328,6,344,121
109542187277,329,6,46,121
96017287850,330,6,40,121
95227934275,331,6,29,121
104346595232,332,6,74,121
95854340132,333,6,78,121
120203173025,334,6,39,121
120119344208,335,6,87,120
103318078075,336,6,44,120
96477528208,337,6,44,120
101340694498,338,6,76,120
98097699527,339,6,133,120
100843383257,340,6,35,120
96572433100,341,6,114,120
104678516987,342,6,129,120
109866796100,343,6,45,120
115212719548,344,6,25,120
97507266407,345,6,12,120
108093202558,346,6,81,120
104939027947,347,6,61,120
108251346248,348,6,122,120
114603892343,349,6,36,119
103986468017,350,6,31,119
113227793198,351,6,235,119
113754720907,352,6,13,119
116374899658,353,6,152,119
97000522937,354,6,63,119
119103477277,355,6,189,119
101914611272,356,6,32,119
118241655857,357,6,96,119
110255739688,358,6,75,119
113138822338,359,6,27,119
109731366943,360,6,56,118
95808371867,361,6,170,118
106042788325,362,6,11,118
104133364900,363,6,36,118
119211852238,364,6,78,118
97931667527,365,6,148,118
120529451950,366,6,90,118
111563637263,367,6,62,118
94094906533,368,6,39,118
113995723067,369,6,170,118
109089102257,370,6,125,118
119361314725,371,6,40,118
100327136737,372,6,87,117
111379491548,373,6,233,117
109306877338,374,6,28,117
108928013822,375,6,152,117
93875960753,376,6,41,117
98127821725,377,6,71,117
95141980417,378,6,89,117
107493774475,379,6,27,117
116838504298,380,6,24,117
118182335248,381,6,12,117
101042430688,382,6,54,117
114801704062,383,6,126,117
109068083972,384,6,24,117
116679036253,385,6,56,117
117413490952,386,6,60,117
99319564402,387,6,37,116
115961814517,388,6,17,116
99642952102,389,6,104,116
114501939893,390,6,49,116
111218135093,391,6,43,116
103036889278,392,6,50,116
115204559242,393,6,31,116
120169834087,394,6,62,116
119775021838,395,6,75,116
99918580193,396,6,45,116
112327334450,397,6,366,115
98589090325,398,6,13,115
112131193463,399,6,80,115
96022108303,400,6,281,115
120493613257,401,6,108,115
99767540668,402,6,84,115
118033612975,403,6,120,115
109434091058,404,6,28,115
103313532400,405,6,80,115
104623160092,406,6,40,115
99484984027,407,6,31,115
113905496357,408,6,81,115
113721334792,409,6,78,115
100029474757,410,6,48,115
112052122303,411,6,90,114
109811958317,412,6,104,114
112181870482,413,6,44,114
109244700503,414,6,35,114
107077804262,415,6,49,114
96757983757,416,6,35,114
112768565975,417,6,21,114
120904850608,418,6,35,114
97347912343,419,6,56,114
105113645962,420,6,64,114
114708285022,421,6,47,114
105446325262,422,6,39,114
109255451623,423,6,47,114
112125984325,424,6,21,114
98148644182,425,6,58,114
111053125318,426,6,87,114
115486016507,427,6,352,114
113392505287,428,6,52,113
118890288575,429,6,634,113
102831350947,430,6,50,113
111467295917,431,6,112,113
103165852400,432,6,45,113
116916828463,433,6,42,113
96957363100,434,6,113,113
95716905943,435,6,38,113
114691521527,436,6,38,113
114829497575,437,6,73,113
114721696700,438,6,116,113
99877010588,439,6,77,113
115712968975,440,6,110,113
97229254022,441,6,63,113
116492645152,442,6,40,113
97056468850,443,6,62,112
102109289662,444,6,42,112
107735945152,445,6,30,112
97181193742,446,6,46,112
104983470728,447,6,52,112
107446022027,448,6,25,112
112524595618,449,6,59,112
98800570223,450,6,136,112
110143067728,451,6,57,112
99957922837,452,6,53,112
98700577748,453,6,243,112
100575451448,454,6,36,112
100727549900,455,6,12,112
113821984957,456,6,52,112
119040525277,457,6,61,111
114446914003,458,6,14,111
107621320850,459,6,53,111
99398467108,460,6,36,111
115268409350,461,6,63,111
104765470582,462,6,147,111
105354958193,463,6,83,111
117057587782,464,6,65,111
103660199347,465,6,13,111
93748612742,466,6,52,111
109947437182,467,6,19,111
112269516637,468,6,98,111
105916181075,469,6,48,110
101004672982,470,6,87,110
96301901608,471,6,66,110
100176683833,472,6,73,110
115584078797,473,6,78,110
96095744803,474,6,39,110
104385886267,475,6,49,110
119364734897,476,6,451,110
114956527975,477,6,108,110
109730430008,478,6,35,110
100187874358,479,6,100,110
111279455638,480,6,20,110
97271151112,481,6,60,110
114740378558,482,6,93,110
115248244247,483,6,51,110
93982583672,484,6,59,109
99600100918,485,6,17,109
105900072850,486,6,32,109
120724448822,487,6,98,109
119036621825,488,6,44,109
112279941700,489,6,55,109
119841105148,490,6,34,109
104995384825,491,6,68,109
105477555248,492,6,68,109
103680234593,493,6,57,109
105180598423,494,6,23,109
102887139073,495,6,121,109
96996118432,496,6,51,109
116576164708,497,6,58,109
116291934512,498,6,830,109
113869702007,499,6,47,109
94603581907,500,6,54,108
113524932950,501,6,523,108
95543721877,502,6,61,108
112835062825,503,6,55,108
103249903450,504,6,21,108
96915093388,505,6,60,108
93762036517,506,6,75,108
117195526927,507,6,51,108
114108914978,508,6,67,108
116703191078,509,6,13,108
116502781768,510,6,69,108
98938420558,511,6,299,108
100494737918,512,6,43,107
105272348723,513,6,72,107
100672350452,514,6,289,107
115555232627,515,6,43,107
95761539358,516,6,33,107
109021383922,517,6,75,107
103189019813,518,6,55,107
106778139578,519,6,73,107
118734298975,520,6,60,107
94987622788,521,6,30,107
110243061217,522,6,30,107
104247030163,523,6,72,107
116018166748,524,6,54,106
113294901302,525,6,62,106
120365030600,526,6,39,106
109039595752,527,6,111,106
94149140408,528,6,16,106
99245148200,529,6,48,106
100596980528,530,6,97,106
125990202473,531,6,848,106
94490955757,532,6,43,106
111903052018,533,6,50,106
108738129193,534,6,50,106
99310650812,535,6,34,106
102968807503,536,6,52,106
111226152973,537,6,52,106
117700543168,538,6,35,106
96823980682,539,6,81,106
96062429557,540,6,54,106
103836029102,541,6,36,106
106652479522,542,6,90,106
95911268497,543,6,61,105
103033257682,544,6,50,105
103948620100,545,6,1044,105
99187238725,546,6,19,105
94954500202,547,6,96,105
120306651223,548,6,290,105
120631105717,549,6,136,105
106739324900,550,6,39,105
120395452357,551,6,78,105
109281162968,552,6,42,105
119896923025,553,6,20,105
105345777763,554,6,83,105
98103900778,555,6,44,105
112478109857,556,6,63,105
96863149493,557,6,64,105
104582909728,558,6,22,105
107453439187,559,6,61,104
107650551212,560,6,57,104
102142281428,561,6,144,104
97163119097,562,6,72,104
99591621047,563,6,48,104
100108211437,564,6,73,104
115303462417,565,6,35,104
113772369833,566,6,51,104
112954806547,567,6,26,104
112523646833,568,6,47,104
106059367963,569,6,53,104
114982901575,570,6,27,104
114735588193,571,6,54,104
100654402672,572,6,83,104
104892762473,573,6,50,104
104799346487,574,6,113,104
98709019600,575,6,103,103
98063596150,576,6,86,103
114863045950,577,6,135,103
119871460627,578,6,61,103
114525389725,579,6,103,103
101161593503,580,6,120,103
118821543038,581,6,30,103
109346623678,582,6,45,103
109495385827,583,6,60,103
108371892100,584,6,25,103
115392319397,585,6,94,103
94738473602,586,6,38,103
99495243683,587,6,51,103
100373728373,588,6,64,103
118276671725,589,6,267,103
100293543712,590,6,72,103
94973675732,591,6,199,103
114316818443,592,6,170,103
115673043817,593,6,80,103
102959731633,594,6,141,103
93782390525,595,6,117,103
94010766502,596,6,71,103
100807009802,597,6,65,103
114207346825,598,6,37,103
96898804397,599,6,75,103
118736248213,600,6,75,103
99186793333,601,6,42,103
94126143337,602,6,69,103
95732657725,603,6,61,102
120370427728,604,6,41,102
95285112893,605,6,124,102
119279733722,606,6,43,102
106230766777,607,6,39,102
112784238467,608,6,44,102
117612256697,609,6,176,102
114895640492,610,6,44,102
120842407502,611,6,44,102
111326164927,612,6,45,102
95366327282,613,6,184,102
116333413387,614,6,48,102
115276091758,615,6,193,102
114780621572,616,6,49,102
96934465862,617,6,49,102
111630722962,618,6,50,102
110047341850,619,6,51,102
119392098037,620,6,51,102
119658563797,621,6,36,102
117080813950,622,6,45,102
103787273803,623,6,57,102
106360329133,624,6,58,102
113037523798,625,6,59,102
110285795272,626,6,61,102
106759655518,627,6,123,102
111341264975,628,6,51,102
99367704700,629,6,32,102
99803726122,630,6,48,101
113357267782,631,6,35,101
103102268950,632,6,70,101
97826807825,633,6,76,101
99901146725,634,6,77,101
100926033757,635,6,117,101
117106462187,636,6,176,101
96971895442,637,6,84,101
114739420477,638,6,95,101
100372384232,639,6,27,101
113795744842,640,6,368,101
103126791673,641,6,52,101
99685812502,642,6,42,101
120521596438,643,6,33,101
119862647350,644,6,110,101
114102226975,645,6,33,101
114523475363,646,6,84,101
124434390475,647,6,61,101
100420330825,648,6,124,101
100903571032,649,6,372,101
119655628612,650,6,27,101
96771621277,651,6,68,101
96130819723,652,6,41,101
117860222002,653,6,77,101
113051312950,654,6,92,101
106994059363,655,6,199,101
98404009462,656,6,42,100
111716262838,657,6,292,100
104760893177,658,6,46,100
94052398102,659,6,77,100
113502062222,660,6,62,100
94624027048,661,6,47,100
116207552662,662,6,65,100
99701887528,663,6,28,100
98776122943,664,6,21,100
112270464350,665,6,21,100
115994082923,666,6,98,100
104975681107,667,6,49,100
103046422522,668,6,48,100
116946327697,669,6,42,100
97450307747,670,6,17,100
100598774722,671,6,72,100
116952131263,672,6,22,100
105255830717,673,6,54,100
113949411775,674,6,16,100
119531894408,675,6,27,100
115651881467,676,6,18,100
120086016898,677,6,25,100
97961321593,678,6,75,100
104509289902,679,6,45,100
120689072450,680,6,230,100
108545148682,681,6,74,100
97737478072,682,6,120,100
96319018162,683,6,49,100
103362176312,684,6,16,100
95179062347,685,6,52,100
118755254122,686,6,16,100
95658285700,687,6,50,100
94057168978,688,6,54,100
94668404953,689,6,109,100
114280003357,690,6,14,100
116595479848,691,6,33,100
103963211252,692,6,31,100
113457280387,693,6,38,100
117704909842,694,6,121,100
114261359017,695,6,39,100
120521105477,696,6,56,100
112399390582,697,6,34,100
96412088600,698,6,63,100
107119920427,699,6,36,100
112987129225,700,6,78,100
112181396812,701,6,31,100
119777958487,702,6,122,100
110498649553,703,6,26,100
104981637850,704,6,88,100
112417882393,705,6,51,100
104753569537,706,6,92,100
99355222762,707,6,48,100
119055163792,708,6,56,99
100512223100,709,6,171,99
119859709663,710,6,455,99
96107143450,711,6,1586,99
115676891725,712,6,149,99
111902578937,713,6,98,99
111304460402,714,6,53,99
100351775197,715,6,42,99
113937000038,716,6,76,99
97201474613,717,6,73,99
116645706700,718,6,289,99
103691619118,719,6,136,99
113383457297,720,6,47,99
105671927978,721,6,196,98
94615761725,722,6,65,98
119083955497,723,6,64,98
115858296962,724,6,62,98
103866563950,725,6,124,98
94081458950,726,6,61,98
112951954768,727,6,119,98
116694011950,728,6,58,98
104842843852,729,6,46,98
113158802053,730,6,28,98
95474666950,731,6,52,98
94663618600,732,6,52,98
99143149768,733,6,766,98
94925740537,734,6,50,98
93799714825,735,6,99,98
112349138473,736,6,54,98
118855181987,737,6,49,98
109783841687,738,6,49,98
94927483423,739,6,49,98
115970001598,740,6,24,98
96029996578,741,6,47,98
103976435368,742,6,117,98
118150736083,743,6,45,98
110125233283,744,6,45,98
