username,name,chances
107204640643,MOHANA ENTERPRISE,1
109607257903,ABC ONE BISTRO,1
115871775700,PERRY MART,0
99894441950,KASH NEWS AGENCY,0
100084497700,MUZHAR BIN MOHD BASHAH,0
100133270513,STABLE KIOSK,2
100183398073,NT 3 ENTERPRISE,2
100183845697,EPIC RELIANCE (M) S/B (MERPATI CLUB),0
100195036622,RAISE ENTERPRISE (BHP),4
100196827228,TAN STALL,1
100248761762,SYKT DEEN,1
100264434307,ROOBAM MINI MARKET,2
100281003758,PETRONAS SEMUA SUKA - MESRA,4
100293991582,KIAN HONG (M) SDN BHD,4
100297574578,KEDAI KOPI SAY HOI,2
100310115568,J.S. SETOR,1
100321761475,RESTORAN AL KUBAH,0
100373280325,BHP PANTAI SERVICE STATION,4
100384033753,RIYAS MINI MARKET,1
100424364238,PETRONAS LE ' MYRA ENTERPRISE,4
100469633650,PERNIAGAAN FATIMAH GHOUS,2
100497427847,MSA HAMID ENTERPRISE,0
100527916225,RESTORAN SABIK SDN BHD,0
100530158200,PASAR MINI MUN SANG,1
100536435863,KEDAI RUNCIT LONG HUAT,0
100540471607,PETRONAS BUSINESS IDEAS BANGSAR,0
100579936483,JIMAT DEEN ENTERPRISE,1
100591598042,ALI MAJU CAFE - WISMA RAMPAI,1
100599671825,PASARAYA CM,0
100604605963,GEMILANG SAUJANA SYNERGY,4
100610437373,YEE SIONG HING CONFECTIONERY,2
100629727087,REST 818,0
100697031262,TRIPLE EIGHT CORNER RESTAURANT,0
100707353225,PETRON-ASHROSA ENERGY,2
100734731428,NASI KANDAR DEEN BISTRO,2
100753584157,HERITAGE ONE STATION,0
100770193975,NAJ MAGS & NEWS ENTERPRISE,0
100791743887,PETRONAS JAMALUDDIN NORDIN ENT-MESRA,2
100805662763,SFS KOPITIAM CAFE,0
100844730548,L & M DYNAMIC ENTERPRISE,0
100852814483,PASAR MINI SYAMIM,1
100857305698,CALTEX-L&S MARKET TRADING(TMN KEPONG),2
100872127417,ALL DELICIOUS RESTAURANT,4
100878864922,PERNIAGAAN NOOR HANIM LATIF,4
100892789812,PETRON DESA PANDAN,0
100958833825,MISBAH CORPORATION SDN BHD,0
100980853298,RESTORAN MUBEEN,0
